,channel_output_r,channel_output_i,symbols_r,symbols_i,indices
0,0.5303072292288205,0.5261541226019891,0.9486832980505138,-0.9486832980505138,12
1,-0.645302448684199,-0.8280997663349987,-0.9486832980505138,-0.31622776601683794,1
2,2.21607952218245,0.35610813152015475,-0.31622776601683794,0.31622776601683794,6
3,-0.9518157652647616,-0.9551674727952368,-0.9486832980505138,-0.9486832980505138,0
4,-0.312772923688997,-0.9462479584802641,0.9486832980505138,0.31622776601683794,14
5,0.32685325691931666,-0.921157338372106,0.31622776601683794,0.9486832980505138,11
6,-0.7777497667850686,0.4923450356943466,0.31622776601683794,-0.9486832980505138,8
7,0.874398216716012,0.5527722981290448,-0.31622776601683794,0.9486832980505138,7
8,-0.3551647264557388,-0.9616171496779485,-0.31622776601683794,-0.9486832980505138,4
9,1.54086770592639,1.546817172687582,-0.31622776601683794,-0.31622776601683794,5
10,0.3192135111325275,-0.9385765914700572,0.31622776601683794,0.9486832980505138,11
11,-1.9546280526308477,-0.9778417420129986,-0.31622776601683794,-0.31622776601683794,5
12,0.5729180678472673,-0.8477914825073583,-0.9486832980505138,-0.31622776601683794,1
13,-0.9985828327410383,0.9952832073796735,-0.9486832980505138,0.9486832980505138,3
14,0.417370390603408,-0.41950061557333623,0.9486832980505138,-0.9486832980505138,12
15,-0.3299822762649575,-0.9012849149276626,-0.31622776601683794,0.9486832980505138,7
16,-0.9871917906363235,-0.03566366934963067,-0.31622776601683794,-0.9486832980505138,4
17,2.2181472897992767,0.35544815926318907,-0.31622776601683794,0.31622776601683794,6
18,0.3611452942386345,-0.956361238571285,0.31622776601683794,-0.9486832980505138,8
19,-1.009095142270176,0.39791499295379884,-0.31622776601683794,0.9486832980505138,7
20,-0.5696096337551719,-0.4864242239596634,-0.9486832980505138,0.9486832980505138,3
21,0.2915070307955221,-0.7434765476103814,-0.9486832980505138,0.9486832980505138,3
22,2.288299617404263,0.36288520789700973,-0.31622776601683794,0.31622776601683794,6
23,0.9267598935721094,0.24808552518577592,0.9486832980505138,0.31622776601683794,14
24,0.34583265836443194,0.9648477533568105,-0.9486832980505138,-0.31622776601683794,1
25,0.332882111403867,-0.8936325253494136,0.31622776601683794,0.9486832980505138,11
26,2.0184509175493144,1.0235458304017615,0.31622776601683794,0.31622776601683794,10
27,-0.8113043577139321,-0.5839553291300691,0.31622776601683794,-0.9486832980505138,8
28,-0.9219344135983225,0.2530458661805559,-0.9486832980505138,0.31622776601683794,2
29,-1.5817595011121506,1.5857157825886574,-0.31622776601683794,0.31622776601683794,6
30,1.5712049811008706,-1.593285830504553,0.31622776601683794,0.31622776601683794,10
31,-0.9965803756526324,2.017738247163551,0.31622776601683794,-0.31622776601683794,9
32,-0.7940598988543339,-0.12399368579449638,0.9486832980505138,-0.9486832980505138,12
33,0.9268086440986049,0.2775119634905146,0.9486832980505138,0.31622776601683794,14
34,0.27567941984740063,-0.9404304317248487,0.9486832980505138,-0.31622776601683794,13
